,Classifier,Accuracy,Precision Score,Recall Score,F1-Score,roc-auc_Score
0,Gradient Boosting Classifier,0.8906336392790003,0.7372005571920588,0.6318220126820965,0.6630326218929232,0.7372005571920588
0,Gradient Boosting Classifier,0.8952781156695787,0.7605289124493217,0.6344519438029481,0.66954799028353,0.7605289124493217
0,Adaptive Boosting Classifier,0.8883114010837112,0.7274019841516122,0.6223075994332473,0.6521717505924189,0.7274019841516122
0,Adaptive Boosting Classifier,0.8907442220502045,0.7400396760186455,0.619995430941522,0.6518232034208796,0.7400396760186455
0,Linear Discriminant Analysis,0.8796859449297799,0.7061941420497257,0.692858360370875,0.6991733337768833,0.7061941420497257
0,Linear Discriminant Analysis,0.8831140108371116,0.714301437776818,0.6952094723921152,0.7040607494550941,0.714301437776818
0,Logistic Regression,0.8887537321685282,0.7307730802767156,0.6127187318376967,0.6429765266765146,0.7307730802767157
0,Logistic Regression,0.8896383943381622,0.7365090859646286,0.6087099748701784,0.6394326593622952,0.7365090859646286
0,Random Forest Classifier,0.8793541966161672,0.6960649083815992,0.6410139877108899,0.6616086326299205,0.6960649083815991
0,Random Forest Classifier,0.8815658520402522,0.7009776518928861,0.6299671643310414,0.6539605684419554,0.7009776518928861
0,K Nearest Neighbour,0.885104500718788,0.7150892604022059,0.5626855884083223,0.5810034171514361,0.7150892604022058
0,K Nearest Neighbour,0.8863209112020347,0.7255599059715039,0.5646042970456184,0.584009750139257,0.7255599059715039
